date,state,positive,negative,pending,hospitalized,death,total,dateChecked,totalTestResults,fips,deathIncrease,hospitalizedIncrease,negativeIncrease,positiveIncrease,totalTestResultsIncrease
20200319,OK,44,466,250,null,1,760,2020-03-19 20:00:00,510,40,1,0,88,15,103
20200314,NY,524,2779,null,null,null,3303,2020-03-14 20:00:00,3303,36,0,0,0,103,103
20200323,SC,299,1466,null,null,5,1765,2020-03-23 20:00:00,1765,45,2,0,0,104,104
20200322,OH,351,140,null,83,3,491,2020-03-22 20:00:00,491,39,0,25,0,104,104
20200324,ND,34,1454,null,5,0,1488,2020-03-24 20:00:00,1488,38,0,1,101,4,105
20200314,LA,69,109,null,null,null,178,2020-03-14 20:00:00,178,22,0,0,72,33,105
20200331,OK,565,1229,null,177,23,1794,2020-03-31 20:00:00,1794,40,6,24,22,84,106
20200318,VT,19,592,null,null,null,611,2020-03-18 20:00:00,611,50,0,0,97,9,106
20200317,MT,8,303,0,null,null,311,2020-03-17 20:00:00,311,30,0,0,105,1,106
20200326,WY,53,1052,null,null,null,1105,2020-03-26 20:00:00,1105,56,0,0,98,9,107
20200328,AL,696,4184,null,null,3,4880,2020-03-28 20:00:00,4880,1,0,0,0,109,109
20200319,KY,35,454,null,null,1,489,2020-03-19 20:00:00,489,21,0,0,100,9,109
20200314,SD,9,182,3,null,null,194,2020-03-14 20:00:00,191,46,0,0,109,0,109
20200329,AL,806,4184,null,null,4,4990,2020-03-29 20:00:00,4990,1,1,0,0,110,110
20200323,TN,615,3272,null,null,2,3887,2020-03-23 20:00:00,3887,47,2,0,0,110,110
20200329,AR,426,3027,null,48,6,3453,2020-03-29 20:00:00,3453,5,1,0,89,22,111
20200326,WA,2580,31712,null,null,132,34292,2020-03-26 20:00:00,34292,53,9,0,0,111,111
20200321,WY,23,438,null,null,null,461,2020-03-21 20:00:00,461,56,0,0,107,4,111
20200316,RI,21,308,149,null,null,478,2020-03-16 20:00:00,329,44,0,0,110,1,111
20200315,OH,36,139,350,null,null,525,2020-03-15 20:00:00,175,39,0,0,89,23,112
20200328,VT,211,2163,null,18,12,2374,2020-03-28 20:00:00,2374,50,2,0,86,27,113
20200321,WV,11,330,2,1,0,343,2020-03-21 20:00:00,341,54,0,1,111,4,115
